_id,avatar,cnName,shortName,name
5652a00fdcd7e8780760354a,app/view/img/school/avt_jhu.png,????????,JHU,Johns Hopkins University
5652a026dcd7e8780760354c,app/view/img/school/avt_gu.png,?????,GU,Georgetown University
5652a01cdcd7e8780760354b,app/view/img/school/avt_gwu.png,???????,GWU,The George Washington University
5675cac20c9f7e495bcf9033,app/view/img/school/avt_cmu.png,???????,CMU,Carnegie Mellon University
569ecec6b55b05b1254d9202,app/view/img/school/avt_umb.png,?????????,UMB,"University of Massachusetts, Boston"
5675cd060c9f7e495bcf9034,app/view/img/school/avt_pitt.png,?????,Pitt,University of Pittsburgh
56848cd70b2f28f32e73b696,app/view/img/school/avt_vt.png,????????,VT,Virginia Polytechnic Institute and State University
56848fbb0b2f28f32e73b697,app/view/img/school/avt_bcm.png,???????,BCM,Berklee College of Music
5675c6f40c9f7e495bcf9032,app/view/img/school/avt_umd.png,?????,UMD,"University of Maryland, College Park"
